75,MQTT,None,Normal,829,128,7,16.438,jpg,0.288,UPLOAD,"2015-11-13 11:50:07"
76,MQTT,None,Normal,6924,512,14,69.053,pdf,2.382,UPLOAD,"2015-11-13 11:50:07"
77,AMQP,AES,Normal,829,128,8,10.585,jpg,0.149,UPLOAD,"2015-11-12 20:14:13"
78,MQTT,None,Normal,829,128,7,10.681,jpg,0.296,UPLOAD,"2015-11-13 11:50:07"
79,AMQP,AES,Normal,829,128,8,8.925,jpg,0.152,UPLOAD,"2015-11-12 20:14:13"
80,MQTT,None,Normal,829,128,7,9.324,jpg,0.282,UPLOAD,"2015-11-13 11:50:07"
81,AMQP,AES,Normal,83,512,2,0.987,zip,0.025,UPLOAD,"2015-11-12 20:14:13"
82,AMQP,AES,Normal,829,128,8,9.002,jpg,0.116,UPLOAD,"2015-11-12 20:14:13"
83,MQTT,None,Normal,83,512,1,1.365,zip,0.067,UPLOAD,"2015-11-13 11:50:07"
84,AMQP,AES,Normal,83,512,2,0.921,zip,0.024,UPLOAD,"2015-11-12 20:14:13"
85,MQTT,None,Normal,83,512,1,1.473,zip,0.032,UPLOAD,"2015-11-13 11:50:07"
86,AMQP,AES,Normal,83,512,2,0.858,zip,0.026,UPLOAD,"2015-11-12 20:14:13"
87,MQTT,None,Normal,83,512,1,1.199,zip,0.039,UPLOAD,"2015-11-13 11:50:07"
88,AMQP,AES,Normal,83,512,2,0.86,zip,0.055,UPLOAD,"2015-11-12 20:14:13"
89,AMQP,AES,Normal,83,512,2,0.906,zip,0.035,UPLOAD,"2015-11-12 20:14:13"
90,MQTT,None,Normal,83,512,1,1.251,zip,0.032,UPLOAD,"2015-11-13 11:50:07"
91,AMQP,AES,Normal,83,512,2,0.846,zip,0.052,UPLOAD,"2015-11-12 20:14:13"
92,MQTT,None,Normal,83,512,1,1.26,zip,0.034,UPLOAD,"2015-11-13 11:50:07"
93,AMQP,AES,Normal,83,512,2,0.793,zip,0.026,UPLOAD,"2015-11-12 20:14:13"
94,MQTT,None,Normal,83,512,1,1.201,zip,0.023,UPLOAD,"2015-11-13 11:50:07"
95,AMQP,AES,Normal,83,512,2,0.815,zip,0.045,UPLOAD,"2015-11-12 20:14:13"
96,AMQP,AES,Normal,83,512,2,0.806,zip,0.026,UPLOAD,"2015-11-12 20:14:13"
97,MQTT,None,Normal,83,512,1,1.283,zip,0.034,UPLOAD,"2015-11-13 11:50:07"
98,AMQP,AES,Normal,83,512,2,0.968,zip,0.132,UPLOAD,"2015-11-12 20:14:13"
99,MQTT,None,Normal,83,512,1,1.101,zip,0.047,UPLOAD,"2015-11-13 11:50:07"
100,AMQP,AES,Normal,83,512,2,0.786,zip,0.025,UPLOAD,"2015-11-12 20:14:13"
101,MQTT,None,Normal,83,512,1,1.131,zip,0.022,UPLOAD,"2015-11-13 11:50:07"
102,AMQP,AES,Normal,83,512,2,0.76,zip,0.022,UPLOAD,"2015-11-12 20:14:13"
103,AMQP,AES,Normal,83,512,2,0.866,zip,0.07,UPLOAD,"2015-11-12 20:14:13"
104,MQTT,None,Normal,83,512,1,1.187,zip,0.081,UPLOAD,"2015-11-13 11:50:07"
105,AMQP,AES,Normal,83,512,2,0.843,zip,0.035,UPLOAD,"2015-11-12 20:14:13"
106,MQTT,None,Normal,83,512,1,1.13,zip,0.028,UPLOAD,"2015-11-13 11:50:07"
107,AMQP,AES,Normal,83,512,2,0.806,zip,0.023,UPLOAD,"2015-11-12 20:14:13"
108,MQTT,None,Normal,829,128,7,18.742,jpg,0.425,UPLOAD,"2015-11-13 11:50:07"
109,MQTT,None,Normal,83,512,1,0.937,zip,0.029,UPLOAD,"2015-11-13 11:50:07"
110,MQTT,None,Normal,83,512,1,0.779,zip,0.025,UPLOAD,"2015-11-13 11:50:07"
111,AMQP,AES,Normal,829,128,8,16.72,jpg,0.221,UPLOAD,"2015-11-12 20:14:13"
112,MQTT,None,Normal,83,512,1,0.789,zip,0.026,UPLOAD,"2015-11-13 11:50:07"
